;parent;name;inner.name
0;1-child policy for every single country in the world!;Did Japan ever have a one child policy?;What were the effects of the one child policy?
1;1-child policy for every single country in the world!;Did Japan ever have a one child policy?;How many children can a woman have?
2;1-child policy for every single country in the world!;How many kids can you have in China?;What is China's child policy now?
3;1-child policy for every single country in the world!;How many kids can you have in China?;How do they enforce the one child policy?
4;1-child policy for every single country in the world!;How many kids can you have in China?;Is China overpopulated?
5;1-child policy for every single country in the world!;Which countries have a one child policy?;What was the purpose of China's one child policy?
6;1-child policy for every single country in the world!;Which countries have a one child policy?;How long did the one child policy last?
7;1-child policy for every single country in the world!;Which countries have a one child policy?;Why was the one child policy implemented?
8;1-child policy for every single country in the world!;What happens if you have twins in the one child policy?;How much is the fine for having a second child in China?
9;1-child policy for every single country in the world!;What happens if you have twins in the one child policy?;Does India have one child policy?
10;1-child policy for every single country in the world!;What happens if you have twins in the one child policy?;Will China's population decrease?
