;parent;name;inner.name
0;16 year olds should be able to vote at presidental elections;Should you be allowed to vote at the age of 16?;Should voting be lowered to 16?
1;16 year olds should be able to vote at presidental elections;Should you be allowed to vote at the age of 16?;Can 16 year olds vote in England?
2;16 year olds should be able to vote at presidental elections;In what states can 16 year olds vote?;Can you vote at 16 in US?
3;16 year olds should be able to vote at presidental elections;In what states can 16 year olds vote?;What countries can 16 year olds vote?
4;16 year olds should be able to vote at presidental elections;In what states can 16 year olds vote?;Why do you have to be 18 to vote?
5;16 year olds should be able to vote at presidental elections;Who is pushing for 16 year olds to vote?;Who voted to lower voting age to 16?
6;16 year olds should be able to vote at presidental elections;Who is pushing for 16 year olds to vote?;Can Washington DC vote for president?
7;16 year olds should be able to vote at presidental elections;Who is pushing for 16 year olds to vote?;What is the voting age for presidential election?
8;16 year olds should be able to vote at presidental elections;Can 16 year olds vote in America?;Can 16 year olds vote in DC?
9;16 year olds should be able to vote at presidental elections;Can 16 year olds vote in America?;Should 18 year olds be allowed to vote?
10;16 year olds should be able to vote at presidental elections;Can 16 year olds vote in America?;Can 17 year olds vote?
