;parent;name;inner.name
0;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;Should we ban shark fin soup?;Is Shark Fin Soup legal in the US?
1;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;Should we ban shark fin soup?;Why is shark fin soup banned?
2;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;Will ban on finning save the shark?;Why we should ban shark finning?
3;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;Will ban on finning save the shark?;How many sharks die from shark finning?
4;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;Will ban on finning save the shark?;Is Shark meat legal in the US?
5;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;How many sharks a year are killed for shark fin soup?;Is it illegal to kill sharks?
6;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;How many sharks a year are killed for shark fin soup?;Is shark fin soup illegal in Australia?
7;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;How many sharks a year are killed for shark fin soup?;How many sharks are killed by humans a year?
8;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;What type of shark is used for shark fin soup?;Is shark fin soup illegal in Japan?
9;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;What type of shark is used for shark fin soup?;Is shark fin soup illegal in California?
10;A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction;What type of shark is used for shark fin soup?;How many people are killed by sharks each year?
