;parent;name;inner.name
0;Abolish the US Electoral College;Has the Electoral College been abolished?;Should the Electoral College be abolished essay?
1;Abolish the US Electoral College;Has the Electoral College been abolished?;Can the Electoral College be changed?
2;Abolish the US Electoral College;Can Electoral College be abolished?;What are the flaws in the electoral college?
3;Abolish the US Electoral College;Can Electoral College be abolished?;How has the Electoral College changed?
4;Abolish the US Electoral College;Can Electoral College be abolished?;Can the Electoral College be abolished by Congress?
5;Abolish the US Electoral College;What states have voted to abolish the Electoral College?;When did Electoral College override popular vote?
6;Abolish the US Electoral College;What states have voted to abolish the Electoral College?;Can popular vote override Electoral College?
7;Abolish the US Electoral College;What states have voted to abolish the Electoral College?;Can states overturn Electoral College?
8;Abolish the US Electoral College;Why has the electoral college not been abolished?;Why is the winner take all system important?
9;Abolish the US Electoral College;Why has the electoral college not been abolished?;Why is the Electoral College?
10;Abolish the US Electoral College;Why has the electoral college not been abolished?;How does the winner take all system affect the electoral college?
