;parent;name;inner.name
0;Advertising is harmful;What are the negative effects of advertisement?;What are the disadvantages of advertising?
1;Advertising is harmful;What are the negative effects of advertisement?;What are the consequences of advertising to children?
2;Advertising is harmful;Why is advertising good for society?;Does advertising help or harm the economy?
3;Advertising is harmful;Why is advertising good for society?;Does advertising help us?
4;Advertising is harmful;Why is advertising good for society?;How does advertising affect youth?
5;Advertising is harmful;Does advertising influence our lives?;What can advertising do?
6;Advertising is harmful;Does advertising influence our lives?;How does advertising affect our decisions?
7;Advertising is harmful;Does advertising influence our lives?;How does advertising play an important role in our lives?
8;Advertising is harmful;How does advertising influence society?;Does advertising influence our food choices?
9;Advertising is harmful;How does advertising influence society?;What role does advertising play in society?
10;Advertising is harmful;How does advertising influence society?;What social advertising means?
