;parent;name;inner.name
0;Africa is really rising;Is Africa on the rise?;How long will it take for Africa to develop?
1;Africa is really rising;Is Africa on the rise?;Is Africa growing economically?
2;Africa is really rising;What does the term Africa Rising mean?;Has Africa contributed to the world's economy?
3;Africa is really rising;What does the term Africa Rising mean?;Which African country has the fastest growing economy?
4;Africa is really rising;What does the term Africa Rising mean?;Which country in Africa has the strongest economy?
5;Africa is really rising;Is Africa hopeless?;Is Africa a developing continent?
6;Africa is really rising;Is Africa hopeless?;Which is largest economy in Africa?
7;Africa is really rising;How can Africa develop economically?;What does Africa produce?
8;Africa is really rising;How can Africa develop economically?;How can we improve the economy?
9;Africa is really rising;How can Africa develop economically?;What is Africa's growth rate?
