;parent;name;inner.name
0;African borders must be redefined to reflect ethnic groups;When were borders created in Africa?;Which African countries did France colonize?
1;African borders must be redefined to reflect ethnic groups;When were borders created in Africa?;Which European countries were involved in the scramble for Africa?
2;African borders must be redefined to reflect ethnic groups;What are the borders of Africa?;What was the name of Africa before it was called Africa?
3;African borders must be redefined to reflect ethnic groups;What are the borders of Africa?;What is the original name of Africa?
4;African borders must be redefined to reflect ethnic groups;What are the borders of Africa?;What separates Africa from Asia?
5;African borders must be redefined to reflect ethnic groups;How did European colonial borders create conflict in Africa?;Why was Africa divided?
6;African borders must be redefined to reflect ethnic groups;How did European colonial borders create conflict in Africa?;Which European countries were fighting for a position in Africa?
7;African borders must be redefined to reflect ethnic groups;How did European colonial borders create conflict in Africa?;Why did nations need colonies?
8;African borders must be redefined to reflect ethnic groups;What impact did the scramble for Africa have on the continent?;What were the main reasons Europeans were colonizing Africa?
9;African borders must be redefined to reflect ethnic groups;What impact did the scramble for Africa have on the continent?;Why did the European control such a small portion of Africa in the 1800s?
10;African borders must be redefined to reflect ethnic groups;What impact did the scramble for Africa have on the continent?;What was the main reason for the scramble of Africa?
