;parent;name;inner.name
0;African states should withdraw from the ICC;Has South Africa withdrawn from the ICC?;Can the Philippines withdraw from the ICC?
1;African states should withdraw from the ICC;Has South Africa withdrawn from the ICC?;What is the old name of ICC?
2;African states should withdraw from the ICC;Which countries have withdrawn from the ICC?;Does the US recognize the ICC?
3;African states should withdraw from the ICC;Which countries have withdrawn from the ICC?;What's an ICC?
4;African states should withdraw from the ICC;Which countries have withdrawn from the ICC?;Why should the US join the ICC?
5;African states should withdraw from the ICC;What countries have not signed up to the ICC?;Is India a member of ICC?
6;African states should withdraw from the ICC;What countries have not signed up to the ICC?;How many states have ratified the ICC?
7;African states should withdraw from the ICC;What countries have not signed up to the ICC?;Has Australia ratified the Rome Statute?
8;African states should withdraw from the ICC;Which country recently withdraw from international criminal court?;Is the ICC part of the UN?
9;African states should withdraw from the ICC;Which country recently withdraw from international criminal court?;Who can the ICC prosecute?
10;African states should withdraw from the ICC;Which country recently withdraw from international criminal court?;What is the difference between ICJ and ICC?
