;parent;name;inner.name
0;Africans are worse off due to natural resources;Who owns Africa's natural resources?;Why Africa is poor country?
1;Africans are worse off due to natural resources;Who owns Africa's natural resources?;How much is Africa worth?
2;Africans are worse off due to natural resources;What percentage of the world's natural resources are in Africa?;What natural resources did Africa have during imperialism?
3;Africans are worse off due to natural resources;What percentage of the world's natural resources are in Africa?;What are the minerals and treasure found in Africa?
4;Africans are worse off due to natural resources;What percentage of the world's natural resources are in Africa?;What are the 10 largest nations in Africa?
5;Africans are worse off due to natural resources;Is Africa rich in natural resources?;What is the richest continent?
6;Africans are worse off due to natural resources;Is Africa rich in natural resources?;Is Africa a continent or a country?
7;Africans are worse off due to natural resources;Is Africa rich in natural resources?;How rich is USA?
8;Africans are worse off due to natural resources;What causes the resource curse?;How Much Is America worth?
9;Africans are worse off due to natural resources;What causes the resource curse?;How much money does the 1% have?
10;Africans are worse off due to natural resources;What causes the resource curse?;What is the net worth of China?
