;parent;name;inner.name
0;All nations have a right to nuclear weapons;Which countries should have nuclear weapons?;How did Israel get nukes?
1;All nations have a right to nuclear weapons;Which countries should have nuclear weapons?;Who has the most powerful nuclear bomb in the world?
2;All nations have a right to nuclear weapons;Which countries have nuclear weapons 2018?;How many people died from Chernobyl?
3;All nations have a right to nuclear weapons;Which countries have nuclear weapons 2018?;Who gave Pakistan nuclear weapons?
4;All nations have a right to nuclear weapons;Which countries have nuclear weapons 2018?;How many nuclear weapons does Israel have?
5;All nations have a right to nuclear weapons;How many nuclear missiles does the United States have?;What is the most powerful nuclear weapon the US has?
6;All nations have a right to nuclear weapons;How many nuclear missiles does the United States have?;Where are the missile silos in the US?
7;All nations have a right to nuclear weapons;How many nuclear missiles does the United States have?;Do US Navy ships carry nuclear weapons?
8;All nations have a right to nuclear weapons;What are the chances of nuclear war?;How many nukes does Russia have?
9;All nations have a right to nuclear weapons;What are the chances of nuclear war?;What would happen in a nuclear winter?
10;All nations have a right to nuclear weapons;What are the chances of nuclear war?;How would a nuclear attack affect humans?
