;parent;name;inner.name
0;All third world debt should be dropped;Should Third World debt be Cancelled?;What caused the Latin American debt crisis?
1;All third world debt should be dropped;Should Third World debt be Cancelled?;What are the causes of debt crisis?
2;All third world debt should be dropped;What is the condition of 3rd World debt?;How much money is Africa in debt?
3;All third world debt should be dropped;What is the condition of 3rd World debt?;How much of the world is 3rd world?
4;All third world debt should be dropped;What is the condition of 3rd World debt?;How much debt is there in the world?
5;All third world debt should be dropped;What causes Third World debt?;How do you overcome debt crisis?
6;All third world debt should be dropped;What causes Third World debt?;What are the major causes of global debt crisis?
7;All third world debt should be dropped;What causes Third World debt?;What is the African debt crisis?
8;All third world debt should be dropped;Why should we cancel debt?;How can I get my debt forgiven?
9;All third world debt should be dropped;Why should we cancel debt?;How does debt forgiveness work?
10;All third world debt should be dropped;Why should we cancel debt?;Can debt be Cancelled?
