;parent;name;inner.name
0;Allow biased versions of history to be taught in schools;Why history should be taught in schools?;Does history really repeat itself?
1;Allow biased versions of history to be taught in schools;Why history should be taught in schools?;Do I need a history degree to teach history?
2;Allow biased versions of history to be taught in schools;Why history should be taught in schools?;Should history be made a compulsory subject at school?
3;Allow biased versions of history to be taught in schools;Why history should be taught in schools?;Do schools still teach history?
4;Allow biased versions of history to be taught in schools;Why history should be taught in schools?;Is British history taught in school?
5;Allow biased versions of history to be taught in schools;Should history be made a compulsory subject at school?;What skills do we develop studying history?
6;Allow biased versions of history to be taught in schools;Should history be made a compulsory subject at school?;Why is history a required class?
7;Allow biased versions of history to be taught in schools;Should history be made a compulsory subject at school?;Should sports be compulsory in school?
8;Allow biased versions of history to be taught in schools;Should history be made a compulsory subject at school?;Do schools still teach history?
9;Allow biased versions of history to be taught in schools;Should history be made a compulsory subject at school?;Is British history taught in school?
10;Allow biased versions of history to be taught in schools;Do schools still teach history?;How old are you in 11th grade America?
11;Allow biased versions of history to be taught in schools;Do schools still teach history?;Is the Constitution taught in public schools?
12;Allow biased versions of history to be taught in schools;Do schools still teach history?;What history is taught in 9th grade?
13;Allow biased versions of history to be taught in schools;Do schools still teach history?;Is British history taught in school?
14;Allow biased versions of history to be taught in schools;Is British history taught in school?;How does school work in England?
15;Allow biased versions of history to be taught in schools;Is British history taught in school?;Does the UK have public schools?
16;Allow biased versions of history to be taught in schools;Is British history taught in school?;How can I teach in England?
