;parent;name;inner.name
0;Animals should be kept in zoos;Should animals be kept in zoos introduction?;Are zoos harmful to animals?
1;Animals should be kept in zoos;Should animals be kept in zoos introduction?;Do animals live longer in zoos?
2;Animals should be kept in zoos;Are zoos good for animals?;Do zoos help or harm animals?
3;Animals should be kept in zoos;Are zoos good for animals?;How many animals are killed each year in zoos?
4;Animals should be kept in zoos;Are zoos good for animals?;What do zoos do with dead animals?
5;Animals should be kept in zoos;Do zoos help animals?;How do zoos take care of animals?
6;Animals should be kept in zoos;Do zoos help animals?;Are zoos educational?
7;Animals should be kept in zoos;Do zoos help animals?;Why zoos are safe for animals?
8;Animals should be kept in zoos;Is it a good idea to keep animals in zoos?;Why is it cruel to keep animals in zoos?
9;Animals should be kept in zoos;Is it a good idea to keep animals in zoos?;Are zoos helpful or harmful to animals?
10;Animals should be kept in zoos;Is it a good idea to keep animals in zoos?;Should zoo animals be free?
