;parent;name;inner.name
0;Arming the police is a good idea;Should British police carry guns?;What guns do cops use?
1;Arming the police is a good idea;Should British police carry guns?;Do detectives wear uniforms?
2;Arming the police is a good idea;Should police carry guns essay?;Where do police carry guns?
3;Arming the police is a good idea;Should police carry guns essay?;Should police Scotland be armed?
4;Arming the police is a good idea;What are armed police used for?;How much do armed police earn?
5;Arming the police is a good idea;What are armed police used for?;Are Transport Police real police?
6;Arming the police is a good idea;What are armed police used for?;What caliber gun do police use?
7;Arming the police is a good idea;What guns do UK police use?;What does a SWAT officer carry?
8;Arming the police is a good idea;What guns do UK police use?;Who protects the British royal family?
9;Arming the police is a good idea;What guns do UK police use?;Are guns legal in England?
