;parent;name;inner.name
0;Bottled water should be banned;Should bottled water be banned from schools?;Which is better to drink tap water or bottled water?
1;Bottled water should be banned;Should bottled water be banned from schools?;What are the disadvantages of bottled water?
2;Bottled water should be banned;Will plastic bottles be banned?;Should bottles be banned?
3;Bottled water should be banned;Will plastic bottles be banned?;Will bottled water be banned?
4;Bottled water should be banned;Will plastic bottles be banned?;Should plastic be banned?
5;Bottled water should be banned;Why should we not use plastic water bottles?;What is the safest bottled water to drink?
6;Bottled water should be banned;Why should we not use plastic water bottles?;What is bad about plastic water bottles?
7;Bottled water should be banned;Why should we not use plastic water bottles?;How long will bottled water last?
8;Bottled water should be banned;Why should we stop using plastic bottles?;Is bottled water bad for you?
9;Bottled water should be banned;Why should we stop using plastic bottles?;How many water bottles end up in landfills each year?
10;Bottled water should be banned;Why should we stop using plastic bottles?;How long does it take for plastic water bottles to degrade?
