;parent;name;inner.name
0;Boys should go to boys only schools;Why are there all boys schools?;What are the disadvantages of single gender schools?
1;Boys should go to boys only schools;Why are there all boys schools?;Why are coed schools better?
2;Boys should go to boys only schools;What is the purpose of an all boys school?;How can I impress a boy in school?
3;Boys should go to boys only schools;What is the purpose of an all boys school?;How do you impress a boy?
4;Boys should go to boys only schools;What is the purpose of an all boys school?;Are there benefits to attending a single gender school?
5;Boys should go to boys only schools;How can I be a good boy at school?;How can I be a smart boy in school?
6;Boys should go to boys only schools;How can I be a good boy at school?;How can I be a good boy from a bad boy?
7;Boys should go to boys only schools;How can I be a good boy at school?;What are the qualities of a good boy?
8;Boys should go to boys only schools;Should girls and boys go to different schools?;Should girls and boys be in separate classrooms?
9;Boys should go to boys only schools;Should girls and boys go to different schools?;Why are mixed schools better?
10;Boys should go to boys only schools;Should girls and boys go to different schools?;Should students be allowed to eat during class?
