;parent;name;inner.name
0;Britain should scrap the monarchy;Will England abolish the monarchy?;Does Britain like the royal family?
1;Britain should scrap the monarchy;Will England abolish the monarchy?;Who pays for the royal family?
2;Britain should scrap the monarchy;Why does UK still have monarchy?;Why England has no king?
3;Britain should scrap the monarchy;Why does UK still have monarchy?;Does the British royal family have any power?
4;Britain should scrap the monarchy;Why does UK still have monarchy?;Why is there a British royal family?
5;Britain should scrap the monarchy;Will British monarchy ever end?;Who will take the throne after the Queen?
6;Britain should scrap the monarchy;Will British monarchy ever end?;Will England ever have a king?
7;Britain should scrap the monarchy;Will British monarchy ever end?;Who becomes queen after Elizabeth?
8;Britain should scrap the monarchy;How much does the monarchy cost England?;How much does Prince Harry earn?
9;Britain should scrap the monarchy;How much does the monarchy cost England?;How rich is the Queen of England 2018?
10;Britain should scrap the monarchy;How much does the monarchy cost England?;How much money does the royal family bring into the UK?
