;parent;name;inner.name
0;Cell phone radiation is safe;Is smartphone radiation harmful?;Can you get cancer from putting your phone in your pocket?
1;Cell phone radiation is safe;Is smartphone radiation harmful?;Can radiation from phones harm you?
2;Cell phone radiation is safe;How much radiation does a cell phone emit?;Can WiFi give you cancer?
3;Cell phone radiation is safe;How much radiation does a cell phone emit?;Why are cell phones dangerous?
4;Cell phone radiation is safe;How much radiation does a cell phone emit?;Do cell phones put out radiation?
5;Cell phone radiation is safe;How can I protect myself from cell phone radiation?;What materials can block radiation?
6;Cell phone radiation is safe;How can I protect myself from cell phone radiation?;How can cell phones be dangerous?
7;Cell phone radiation is safe;How can I protect myself from cell phone radiation?;How can we reduce radiation?
8;Cell phone radiation is safe;Are cell phones safe?;How cell phones affect a child's brain?
9;Cell phone radiation is safe;Are cell phones safe?;Can iphones cause cancer?
10;Cell phone radiation is safe;Are cell phones safe?;How do phones affect sleep?
