;parent;name;inner.name
0;Chess must be at the Olympics;Is chess included in Olympics?;Why is chess not an Olympic sport?
1;Chess must be at the Olympics;Is chess included in Olympics?;Is chess a real sport?
2;Chess must be at the Olympics;Is chess going to be in the 2020 Olympics?;Who has the Olympics in 2024?
3;Chess must be at the Olympics;Is chess going to be in the 2020 Olympics?;What are the 5 new sports for 2020 Olympics?
4;Chess must be at the Olympics;Is chess going to be in the 2020 Olympics?;What is the oldest sport?
5;Chess must be at the Olympics;Why is chess in the Olympics?;Is chess a sport yes or no?
6;Chess must be at the Olympics;Why is chess in the Olympics?;Will Esports be in the Olympics?
7;Chess must be at the Olympics;Why is chess in the Olympics?;Is cricket an Olympic sport?
8;Chess must be at the Olympics;What qualifies as an Olympic sport?;What sport is not in the Olympics?
9;Chess must be at the Olympics;What qualifies as an Olympic sport?;What sports should be added to Olympics?
10;Chess must be at the Olympics;What qualifies as an Olympic sport?;How many sports are in the Olympics 2020?
