;parent;name;inner.name
0;Children in developing countries should be sponsored;How much does it cost to visit your sponsored child?;Can you visit your compassion child?
1;Children in developing countries should be sponsored;How much does it cost to visit your sponsored child?;What is the mission of Compassion International?
2;Children in developing countries should be sponsored;Does sponsoring a child really work?;How do you choose a child to sponsor?
3;Children in developing countries should be sponsored;Does sponsoring a child really work?;How much of World Vision money goes to the child?
4;Children in developing countries should be sponsored;Does sponsoring a child really work?;How much of my donation goes to World Vision?
5;Children in developing countries should be sponsored;Why should I sponsor a child?;What do you write to a sponsored child?
6;Children in developing countries should be sponsored;Why should I sponsor a child?;How can I get sponsors for my school?
7;Children in developing countries should be sponsored;What does sponsoring a child mean?;How much does it cost to sponsor a Compassion child?
8;Children in developing countries should be sponsored;What does sponsoring a child mean?;Is sponsoring a child tax deductible?
9;Children in developing countries should be sponsored;What does sponsoring a child mean?;Can I sponsor a child in the UK?
