;parent;name;inner.name
0;Children should be allowed to have facebook accounts;Should kids be allowed to have Facebook?;When should kids be potty trained?
1;Children should be allowed to have facebook accounts;Should kids be allowed to have Facebook?;Should children under 14 should not be allowed on Facebook?
2;Children should be allowed to have facebook accounts;Can kids have Facebook accounts?;How can I create a Facebook account for my child?
3;Children should be allowed to have facebook accounts;Can kids have Facebook accounts?;What age should kids have Facebook?
4;Children should be allowed to have facebook accounts;Can kids have Facebook accounts?;How many kids have phones?
5;Children should be allowed to have facebook accounts;Why students should not use Facebook?;Should parents be allowed to access children's Facebook accounts?
6;Children should be allowed to have facebook accounts;Why students should not use Facebook?;Why do we need Facebook?
7;Children should be allowed to have facebook accounts;Why students should not use Facebook?;Why businesses should use Facebook?
8;Children should be allowed to have facebook accounts;Should children under 13 be allowed on Facebook?;What age should kids start using social media?
9;Children should be allowed to have facebook accounts;Should children under 13 be allowed on Facebook?;Why do you have to be 13 to have Facebook?
10;Children should be allowed to have facebook accounts;Should children under 13 be allowed on Facebook?;Should there be an age limit on social media?
