;parent;name;inner.name
0;College education is worth it;Is a college degree worth it 2018?;Is a college degree still worth it?
1;College education is worth it;Is a college degree worth it 2018?;Is an associate's degree worth it?
2;College education is worth it;Is a college education worth the cost for all students?;Is debt worth it for college?
3;College education is worth it;Is a college education worth the cost for all students?;How important is a college education?
4;College education is worth it;Is a college education worth the cost for all students?;Is a college degree necessary?
5;College education is worth it;Is a college education worth it essay?;Why you should get a college education?
6;College education is worth it;Is a college education worth it essay?;Is college degree worth incurring significant debt?
7;College education is worth it;Is a college education worth it essay?;Is college worth it clearly new data say?
8;College education is worth it;Is college worth paying for?;Do I really need a college degree?
9;College education is worth it;Is college worth paying for?;How many jobs require a college degree?
10;College education is worth it;Is college worth paying for?;Is college too expensive?
