;parent;name;inner.name
0;Corporal Punishment Should Be Reintroduced;Should corporal punishment be reintroduced?;Should corporal punishment be abolished?
1;Corporal Punishment Should Be Reintroduced;Should corporal punishment be reintroduced?;Should corporal punishment be allowed?
2;Corporal Punishment Should Be Reintroduced;Should corporal punishment be allowed at home?;What are advantages of corporal punishment?
3;Corporal Punishment Should Be Reintroduced;Should corporal punishment be allowed at home?;Is it illegal to slap your child?
4;Corporal Punishment Should Be Reintroduced;Should corporal punishment be allowed at home?;Is it legal to slap your child?
5;Corporal Punishment Should Be Reintroduced;Should students get corporal punishment?;Which states allow corporal punishment in 2018?
6;Corporal Punishment Should Be Reintroduced;Should students get corporal punishment?;Should corporal punishment be legal in schools?
7;Corporal Punishment Should Be Reintroduced;Should students get corporal punishment?;What is the purpose of corporal punishment?
8;Corporal Punishment Should Be Reintroduced;Is corporal punishment good?;What are the effects of corporal punishment?
9;Corporal Punishment Should Be Reintroduced;Is corporal punishment good?;What can corporal punishment lead to?
10;Corporal Punishment Should Be Reintroduced;Is corporal punishment good?;What are the types of corporal punishment?
