;parent;name;inner.name
0;Dictatorship Is the Best Path to Development;Why dictatorship is the best?;What are disadvantages of a dictatorship?
1;Dictatorship Is the Best Path to Development;Why dictatorship is the best?;What countries are dictatorships?
2;Dictatorship Is the Best Path to Development;Who was the greatest dictator in history?;Who is the cruelest dictator in history?
3;Dictatorship Is the Best Path to Development;Who was the greatest dictator in history?;Which serial killer has the most kills?
4;Dictatorship Is the Best Path to Development;Who was the greatest dictator in history?;Who is the first dictator in the world?
5;Dictatorship Is the Best Path to Development;How a dictator comes to power?;How is fascism different from a dictatorship?
6;Dictatorship Is the Best Path to Development;How a dictator comes to power?;What makes a dictator?
7;Dictatorship Is the Best Path to Development;How a dictator comes to power?;Who makes the decisions in the government?
8;Dictatorship Is the Best Path to Development;What is strong dictatorship?;When was the last time Congress declared war?
9;Dictatorship Is the Best Path to Development;What is strong dictatorship?;Is the USA a democracy?
10;Dictatorship Is the Best Path to Development;What is strong dictatorship?;What are 2 parts of the US Congress?
