;parent;name;inner.name
0;Dictatorship is the best path to development;Why dictatorship is the best?;What are disadvantages of a dictatorship?
1;Dictatorship is the best path to development;Why dictatorship is the best?;What countries are dictatorships?
2;Dictatorship is the best path to development;Who was the greatest dictator in history?;Who are some famous dictators?
3;Dictatorship is the best path to development;Who was the greatest dictator in history?;Who is the leader of dictatorship?
4;Dictatorship is the best path to development;Who was the greatest dictator in history?;Who are some well known dictators?
5;Dictatorship is the best path to development;What is strong dictatorship?;Was Tito a dictator?
6;Dictatorship is the best path to development;What is strong dictatorship?;Which is better dictatorship or democracy?
7;Dictatorship is the best path to development;What is strong dictatorship?;Is Singapore a dictatorship?
8;Dictatorship is the best path to development;Is there such thing as a benevolent dictator?;Is Lee Kuan Yew still alive?
9;Dictatorship is the best path to development;Is there such thing as a benevolent dictator?;Who is the original benevolent dictator for life?
10;Dictatorship is the best path to development;Is there such thing as a benevolent dictator?;How long was Lee Kuan Yew prime minister?
