;parent;name;inner.name
0;Electronic tags are a good idea;What crimes is electronic tagging used for?;How long can you be on electronic tag for?
1;Electronic tags are a good idea;What crimes is electronic tagging used for?;How much does electronic tagging cost?
2;Electronic tags are a good idea;Do electronic tags have GPS?;Can you have a bath with a tag on?
3;Electronic tags are a good idea;Do electronic tags have GPS?;What time is tag curfew?
4;Electronic tags are a good idea;Do electronic tags have GPS?;What is electrical tagging?
5;Electronic tags are a good idea;Why do people get electronic tags?;How do you take off a tag?
6;Electronic tags are a good idea;Why do people get electronic tags?;What is the purpose of electronic monitoring?
7;Electronic tags are a good idea;Why do people get electronic tags?;What does tag mean?
8;Electronic tags are a good idea;How does the electronic tag work?;How does rimowa electronic tag work?
9;Electronic tags are a good idea;How does the electronic tag work?;How does electronic monitoring work?
10;Electronic tags are a good idea;How does the electronic tag work?;How do ankle monitors work?
