;parent;name;inner.name
0;Eliminate All Nuclear Weapons;How much does it cost to dismantle a nuclear weapon?;What is global nuclear disarmament?
1;Eliminate All Nuclear Weapons;How dangerous are nuclear weapons?;Which country has the most nuclear weapons?
2;Eliminate All Nuclear Weapons;How dangerous are nuclear weapons?;How would a nuclear attack affect humans?
3;Eliminate All Nuclear Weapons;How dangerous are nuclear weapons?;How much damage can a nuclear weapon cause?
4;Eliminate All Nuclear Weapons;Are nuclear weapons illegal?;Will nuclear weapons ever be used?
5;Eliminate All Nuclear Weapons;Are nuclear weapons illegal?;How strong is a nuclear bomb?
6;Eliminate All Nuclear Weapons;Are nuclear weapons illegal?;Is nuclear testing banned?
7;Eliminate All Nuclear Weapons;When did the US stop making nuclear weapons?;What is the most powerful nuclear weapon the US has?
8;Eliminate All Nuclear Weapons;When did the US stop making nuclear weapons?;Where are all the missile silos in the US?
9;Eliminate All Nuclear Weapons;When did the US stop making nuclear weapons?;Do US Navy ships carry nuclear weapons?
