;parent;name;inner.name
0;Encourage fewer people to go to university;Is college worth it clearly new data say?;Is a four year university worth it?
1;Encourage fewer people to go to university;Is college worth it clearly new data say?;Is a 4 year degree worth it?
2;Encourage fewer people to go to university;What percentage of students finish college in 4 years?;What is the dropout rate at Harvard?
3;Encourage fewer people to go to university;What percentage of students finish college in 4 years?;What is the dropout rate for college students?
4;Encourage fewer people to go to university;What percentage of students finish college in 4 years?;What year do most students dropout of college?
5;Encourage fewer people to go to university;Is a college degree worth it 2018?;Is going to university worth it?
6;Encourage fewer people to go to university;Is a college degree worth it 2018?;Why a college degree is still worth it?
7;Encourage fewer people to go to university;Is a college degree worth it 2018?;Is an associate's degree worth it?
8;Encourage fewer people to go to university;Is a college degree worth it essay?;Is college degree worth incurring significant debt?
9;Encourage fewer people to go to university;Is a college degree worth it essay?;Is getting an education worth it?
10;Encourage fewer people to go to university;Is a college degree worth it essay?;Is college worth it or not essay?
