;parent;name;inner.name
0;English has to become the official language of the United States;When did English become the official language of the United States?;Why is English the official language of USA?
1;English has to become the official language of the United States;When did English become the official language of the United States?;Is English the official language of California?
2;English has to become the official language of the United States;Why English should not be the official language of the United States?;Would making English the official language Save Money?
3;English has to become the official language of the United States;Why English should not be the official language of the United States?;What percentage of the US speaks English?
4;English has to become the official language of the United States;Why English should not be the official language of the United States?;What are English only laws?
5;English has to become the official language of the United States;Should English be declared the official language of the United States?;Should English be the official language of the world?
6;English has to become the official language of the United States;Should English be declared the official language of the United States?;Is Spanish an official language in the US?
7;English has to become the official language of the United States;Should English be declared the official language of the United States?;Does Canada have an official language?
8;English has to become the official language of the United States;What states have made English the official language?;Do you need to speak English to become a US citizen?
9;English has to become the official language of the United States;What states have made English the official language?;How many people speak English in the US?
10;English has to become the official language of the United States;What states have made English the official language?;Does Texas have an official language?
