;parent;name;inner.name
0;Europe should be federal;Is Europe federal?;Who were the six original countries to unite?
1;Europe should be federal;Is Europe federal?;Is EU a state?
2;Europe should be federal;Can Europe become a federation?;Is America part of Europe?
3;Europe should be federal;Can Europe become a federation?;Will Switzerland join the EU?
4;Europe should be federal;Can Europe become a federation?;How much does UK get from EU?
5;Europe should be federal;Is EU federal or confederal?;Where did Confederates go after the Civil War?
6;Europe should be federal;Is EU federal or confederal?;What does the Confederate stand for?
7;Europe should be federal;Is EU federal or confederal?;Who has the power in a federal government?
8;Europe should be federal;Is the European Union a federation?;Is France in European Union?
9;Europe should be federal;Is the European Union a federation?;Does a confederation have a strong central government?
10;Europe should be federal;Is the European Union a federation?;Is Canada a confederation or federation?
