;parent;name;inner.name
0;Foreign workers should be given the right to vote in local elections where they work;Should foreigners have the right to vote?;Who has the right to vote in the UK?
1;Foreign workers should be given the right to vote in local elections where they work;Should foreigners have the right to vote?;Is the right to vote in the Constitution?
2;Foreign workers should be given the right to vote in local elections where they work;Can non citizens vote in local elections?;Who ineligible to vote?
3;Foreign workers should be given the right to vote in local elections where they work;Can non citizens vote in local elections?;What are the 4 qualifications to vote in the US?
4;Foreign workers should be given the right to vote in local elections where they work;Can non citizens vote in local elections?;Can illegal aliens get a driver's license?
5;Foreign workers should be given the right to vote in local elections where they work;Can permanent residents vote in local elections?;Is voting compulsory in France?
6;Foreign workers should be given the right to vote in local elections where they work;Can permanent residents vote in local elections?;Do permanent residents vote?
7;Foreign workers should be given the right to vote in local elections where they work;Can permanent residents vote in local elections?;Can non citizens vote in Germany?
8;Foreign workers should be given the right to vote in local elections where they work;Can legal immigrants vote?;What is the purpose of laws requiring voter registration?
9;Foreign workers should be given the right to vote in local elections where they work;Can legal immigrants vote?;Are non citizens counted in the census?
