;parent;name;inner.name
0;Fund education using a voucher scheme;What is the voucher program for schools?;What started segregation in schools?
1;Fund education using a voucher scheme;What is the voucher program for schools?;How much will my Section 8 voucher be?
2;Fund education using a voucher scheme;How does the voucher program work?;What is the school voucher debate?
3;Fund education using a voucher scheme;How does the voucher program work?;What are the benefits of school vouchers?
4;Fund education using a voucher scheme;How does the voucher program work?;Does school choice improve education?
5;Fund education using a voucher scheme;How much is a school voucher worth?;How can I get money to go to school?
6;Fund education using a voucher scheme;How much is a school voucher worth?;How do school districts get money?
7;Fund education using a voucher scheme;How much is a school voucher worth?;How much does it cost to run a school?
8;Fund education using a voucher scheme;Which states allow school vouchers?;How do I get a housing choice voucher?
9;Fund education using a voucher scheme;Which states allow school vouchers?;How do I get a voucher for private school?
10;Fund education using a voucher scheme;Which states allow school vouchers?;How many states offer school vouchers?
