;parent;name;inner.name
0;Gabon hosting the Africa Cup of Nations was a good thing;Who will host Africa Cup of Nation 2019?;Did Nigeria qualify for Afcon 2019?
1;Gabon hosting the Africa Cup of Nations was a good thing;Who will host Africa Cup of Nation 2019?;Who is hosting the Africa Cup of Nations?
2;Gabon hosting the Africa Cup of Nations was a good thing;Which countries qualified for African Cup of Nations?;Which country is already in 2019?
3;Gabon hosting the Africa Cup of Nations was a good thing;Which countries qualified for African Cup of Nations?;Which country will see 2019 first?
4;Gabon hosting the Africa Cup of Nations was a good thing;Which countries qualified for African Cup of Nations?;Can teams qualify for 2019?
5;Gabon hosting the Africa Cup of Nations was a good thing;Which countries have qualified for Afcon 2019?;Can you host 2019?
6;Gabon hosting the Africa Cup of Nations was a good thing;Which countries have qualified for Afcon 2019?;Did Bafana Bafana qualify for Afcon 2019?
7;Gabon hosting the Africa Cup of Nations was a good thing;Which countries have qualified for Afcon 2019?;How many times has Ghana won the African Cup of Nations?
8;Gabon hosting the Africa Cup of Nations was a good thing;Which country has won the most African Cup of Nations titles?;Who won the last Africa Cup of Nation?
9;Gabon hosting the Africa Cup of Nations was a good thing;Which country has won the most African Cup of Nations titles?;Which is the first African nation to ever win a World Cup game?
10;Gabon hosting the Africa Cup of Nations was a good thing;Which country has won the most African Cup of Nations titles?;Has Nigeria ever won the Africa Cup of Nations?
