;parent;name;inner.name
0;Gay marriage should be legal;Which states do not allow gay marriage?;When did California legalize gay marriage?
1;Gay marriage should be legal;Which states do not allow gay marriage?;Does Texas recognize gay marriage?
2;Gay marriage should be legal;How many countries have legalized gay marriage?;When did the Supreme Court rule on gay marriage?
3;Gay marriage should be legal;How many countries have legalized gay marriage?;Is gay marriage legal in Ohio?
4;Gay marriage should be legal;What was the first country to legalize gay marriage?;When did South Africa Legalise gay marriage?
5;Gay marriage should be legal;What was the first country to legalize gay marriage?;When did England legalize gay marriage?
6;Gay marriage should be legal;What was the first country to legalize gay marriage?;When did NZ Legalise gay marriage?
7;Gay marriage should be legal;Is marriage a human right?;Is marriage a constitutional right?
8;Gay marriage should be legal;Is marriage a human right?;What is marriage according to the Bible?
9;Gay marriage should be legal;Is marriage a human right?;Is education a human right?
