;parent;name;inner.name
0;Golf is a Sport;Is golf classed as a sport?;Is golf a difficult sport?
1;Golf is a Sport;Is golf classed as a sport?;Is Golf not a sport?
2;Golf is a Sport;Is golf a sport yes or no?;Is golf a workout?
3;Golf is a Sport;Is golf a sport yes or no?;Why golf is the most boring sport?
4;Golf is a Sport;Is golf a sport yes or no?;Is golf a Olympic sport?
5;Golf is a Sport;Is golf a sport essay?;Is badminton a sport?
6;Golf is a Sport;Is golf a sport essay?;Is golf a sport pro con?
7;Golf is a Sport;Is golf a sport essay?;Is archery a sport?
8;Golf is a Sport;Is golf an expensive sport?;How much does it cost to play golf in South Korea?
9;Golf is a Sport;Is golf an expensive sport?;How much does it cost to play golf in Japan?
