;parent;name;inner.name
0;Greece should default on its debt and return to the Drachma;Why did Greece's economy fail?;How much does Greece owe in debt?
1;Greece should default on its debt and return to the Drachma;Why did Greece's economy fail?;Which country has the most debt?
2;Greece should default on its debt and return to the Drachma;Why did Greece's economy fail?;What would happen if Greece defaulted?
3;Greece should default on its debt and return to the Drachma;Why did Greece's economy fail?;Is Greece still in debt?
4;Greece should default on its debt and return to the Drachma;Why did Greece's economy fail?;How did Greece get in debt?
5;Greece should default on its debt and return to the Drachma;What would happen if Greece defaulted?;What country owes the most money?
6;Greece should default on its debt and return to the Drachma;What would happen if Greece defaulted?;Which country has the most debt 2018?
7;Greece should default on its debt and return to the Drachma;What would happen if Greece defaulted?;What countries are not in debt?
8;Greece should default on its debt and return to the Drachma;What would happen if Greece defaulted?;Is Greece still in debt?
9;Greece should default on its debt and return to the Drachma;What would happen if Greece defaulted?;How did Greece get in debt?
10;Greece should default on its debt and return to the Drachma;Is Greece still in debt?;Can Greece pay back its debt?
11;Greece should default on its debt and return to the Drachma;Is Greece still in debt?;Has Greece paid off its debt?
12;Greece should default on its debt and return to the Drachma;Is Greece still in debt?;Did Greece leave the EU?
13;Greece should default on its debt and return to the Drachma;Is Greece still in debt?;How did Greece get in debt?
14;Greece should default on its debt and return to the Drachma;How did Greece get in debt?;How many times has Greece defaulted?
15;Greece should default on its debt and return to the Drachma;How did Greece get in debt?;Does Greece owe Germany money?
16;Greece should default on its debt and return to the Drachma;How did Greece get in debt?;Did Greece default on its debt?
