;parent;name;inner.name
0;Healthy eating should be made mandatory;How can adults be encouraged to eat healthy?;What are 5 benefits of healthy eating?
1;Healthy eating should be made mandatory;How can adults be encouraged to eat healthy?;What should adults eat to be healthy?
2;Healthy eating should be made mandatory;How do you enforce healthy eating?;How do I stop cheating on my diet?
3;Healthy eating should be made mandatory;How do you enforce healthy eating?;What should I eat for healthy eating?
4;Healthy eating should be made mandatory;How do you enforce healthy eating?;How do I stay consistent with weight loss?
5;Healthy eating should be made mandatory;How can you promote healthy eating in your community?;What can families do to promote healthy eating behaviors?
6;Healthy eating should be made mandatory;How can you promote healthy eating in your community?;What can schools do to promote healthy eating?
7;Healthy eating should be made mandatory;How can you promote healthy eating in your community?;How can you encourage healthy eating?
8;Healthy eating should be made mandatory;Why does the government promote healthy eating?;Should government regulate what we eat?
9;Healthy eating should be made mandatory;Why does the government promote healthy eating?;How can you promote healthy eating habits?
10;Healthy eating should be made mandatory;Why does the government promote healthy eating?;What is the result of food insecurity?
