;parent;name;inner.name
0;Hillary Clinton would make a better president for America;What is Hillary Clinton best known for?;What nationality is Hillary Rodham Clinton?
1;Hillary Clinton would make a better president for America;What is Hillary Clinton best known for?;Where is Hillary Clinton from originally?
2;Hillary Clinton would make a better president for America;How old is Hillary Clinton and Clinton?;Who took over when Clinton was impeached?
3;Hillary Clinton would make a better president for America;How old is Hillary Clinton and Clinton?;Why did Bill Clinton change his name?
4;Hillary Clinton would make a better president for America;How old is Hillary Clinton and Clinton?;Who ran against Bill Clinton 1996?
5;Hillary Clinton would make a better president for America;How much did Clinton spend on her campaign?;How much did Obama spend on his campaign?
6;Hillary Clinton would make a better president for America;How much did Clinton spend on her campaign?;How many votes did Hillary get?
7;Hillary Clinton would make a better president for America;How much did Clinton spend on her campaign?;What party is Donald Trump representing?
8;Hillary Clinton would make a better president for America;How many years was Hillary Clinton Secretary of State?;Why did Hillary Clinton leaving secretary of state position?
9;Hillary Clinton would make a better president for America;How many years was Hillary Clinton Secretary of State?;Who was Bill Clinton's secretary of state?
10;Hillary Clinton would make a better president for America;How many years was Hillary Clinton Secretary of State?;Who is Trump's secretary of state?
