;parent;name;inner.name
0;Homework should be banned.;Should homework be banned essay?;Is homework good or bad?
1;Homework should be banned.;Should homework be banned essay?;Does homework cause depression?
2;Homework should be banned.;Why students should not get homework?;Should homework be banned debate?
3;Homework should be banned.;Why students should not get homework?;Why is homework is bad?
4;Homework should be banned.;Why students should not get homework?;Is homework really necessary?
5;Homework should be banned.;Should homework be limited?;How much homework should a 5th grader have?
6;Homework should be banned.;Should homework be limited?;Does homework improve learning?
7;Homework should be banned.;Should homework be limited?;How much homework do you get per grade?
8;Homework should be banned.;Why schools should not give homework?;Why schools should give homework?
9;Homework should be banned.;Why schools should not give homework?;Why schools should give less homework?
10;Homework should be banned.;Why schools should not give homework?;Why homework is bad for high school students?
