;parent;name;inner.name
0;Hosting the Olympic Games is beneficial;What should be benefits of hosting an Olympic Games?;Is hosting the Olympics worth the cost?
1;Hosting the Olympic Games is beneficial;What should be benefits of hosting an Olympic Games?;Do Olympic cities make money?
2;Hosting the Olympic Games is beneficial;Is hosting the Olympics beneficial?;What are the disadvantages of hosting the Olympics?
3;Hosting the Olympic Games is beneficial;Is hosting the Olympics beneficial?;Why would a city want to host the Olympics?
4;Hosting the Olympic Games is beneficial;Is hosting the Olympics beneficial?;Should the US host the Olympics?
5;Hosting the Olympic Games is beneficial;Do Olympics make money?;What are the good things about the Olympics?
6;Hosting the Olympic Games is beneficial;Do Olympics make money?;Do Olympic athletes get paid?
7;Hosting the Olympic Games is beneficial;Do Olympics make money?;How long do the Olympics last?
8;Hosting the Olympic Games is beneficial;How does hosting the Olympics affect the economy?;Who hosted the most Olympics?
9;Hosting the Olympic Games is beneficial;How does hosting the Olympics affect the economy?;How does a city benefit from hosting the Olympic Games?
10;Hosting the Olympic Games is beneficial;How does hosting the Olympics affect the economy?;Should a city host the Olympics?
