;parent;name;inner.name
0;I believe in manned space flight;When was the last manned space flight?;Did any Apollo astronauts die?
1;I believe in manned space flight;When was the last manned space flight?;Are there humans in space?
2;I believe in manned space flight;What is the future of NASA's manned space flight?;How much does it cost to travel to the moon?
3;I believe in manned space flight;What is the future of NASA's manned space flight?;How many astronauts are there in NASA?
4;I believe in manned space flight;What is the future of NASA's manned space flight?;How many manned missions has NASA launched?
5;I believe in manned space flight;Which NASA space flight was the last manned mission to the moon?;Has anyone been back to the moon since 1969?
6;I believe in manned space flight;Which NASA space flight was the last manned mission to the moon?;Who was the last person to stand on the moon?
7;I believe in manned space flight;Which NASA space flight was the last manned mission to the moon?;When was the last landing on the moon?
8;I believe in manned space flight;How far will we be able to travel in space?;Will humans ever travel to other galaxies?
9;I believe in manned space flight;How far will we be able to travel in space?;How far have we seen in the universe?
10;I believe in manned space flight;How far will we be able to travel in space?;How far does the universe go?
