;parent;name;inner.name
0;I believe in the Right to be forgotten;What does right to be forgotten mean?;Who will GDPR apply to?
1;I believe in the Right to be forgotten;What does right to be forgotten mean?;Can I request my data to be deleted?
2;I believe in the Right to be forgotten;What is the right to be forgotten law?;Is an IP address personal data?
3;I believe in the Right to be forgotten;What is the right to be forgotten law?;What rights are included in right to speech?
4;I believe in the Right to be forgotten;What is the right to be forgotten law?;What are freedom of speech limitations?
5;I believe in the Right to be forgotten;What is the right to be forgotten under GDPR?;Does GDPR override Data Protection Act?
6;I believe in the Right to be forgotten;What is the right to be forgotten under GDPR?;How long can personal data be kept under GDPR?
7;I believe in the Right to be forgotten;What is the right to be forgotten under GDPR?;What is personal data under GDPR?
8;I believe in the Right to be forgotten;Does the internet forget?;How can I remove myself from the Internet for free?
9;I believe in the Right to be forgotten;Does the internet forget?;How do I remove my personal information from the Internet for free?
10;I believe in the Right to be forgotten;Does the internet forget?;How do you remove information from public records?
