;parent;name;inner.name
0;Improving access to contraception will lower the number of teenage pregnancies;How can the risk of teenage pregnancy be reduced?;What is the only guaranteed method of preventing pregnancy or contracting an STI?
1;Improving access to contraception will lower the number of teenage pregnancies;How can the risk of teenage pregnancy be reduced?;Has teenage pregnancy increased or decreased?
2;Improving access to contraception will lower the number of teenage pregnancies;Does birth control prevent teenage pregnancy?;What type of birth control is best for a teenager?
3;Improving access to contraception will lower the number of teenage pregnancies;Does birth control prevent teenage pregnancy?;What birth control is best for teenage girl?
4;Improving access to contraception will lower the number of teenage pregnancies;Does birth control prevent teenage pregnancy?;Can a 15 year old take birth control pills?
5;Improving access to contraception will lower the number of teenage pregnancies;What is the teenage pregnancy rate in 2018?;How likely is it for a teenager to get pregnant?
6;Improving access to contraception will lower the number of teenage pregnancies;What is the teenage pregnancy rate in 2018?;How common are teenage pregnancies?
7;Improving access to contraception will lower the number of teenage pregnancies;What is the teenage pregnancy rate in 2018?;How many teenagers get pregnant in a year?
8;Improving access to contraception will lower the number of teenage pregnancies;How much has teenage pregnancy increased since 2010?;Do shows like 16 and Pregnant promote or discourage teenage pregnancy?
9;Improving access to contraception will lower the number of teenage pregnancies;How much has teenage pregnancy increased since 2010?;What percent of teenage moms drop out of high school?
10;Improving access to contraception will lower the number of teenage pregnancies;How much has teenage pregnancy increased since 2010?;What percentage of teenage pregnancies end in abortions?
