;parent;name;inner.name
0;Increased taxes are good for America;Why is tax increase good?;Does lowering taxes on the rich create jobs?
1;Increased taxes are good for America;Why is tax increase good?;Why should taxes be lowered?
2;Increased taxes are good for America;Do tax increases help the economy?;Does lowering taxes increase economic growth?
3;Increased taxes are good for America;Do tax increases help the economy?;How do taxes affect businesses?
4;Increased taxes are good for America;Do tax increases help the economy?;What happens when taxes increase?
5;Increased taxes are good for America;How much do the rich contribute in taxes?;Will middle class pay more taxes in 2018?
6;Increased taxes are good for America;How much do the rich contribute in taxes?;What percentage of taxes do the rich pay 2018?
7;Increased taxes are good for America;How much do the rich contribute in taxes?;Do millionaires get tax returns?
8;Increased taxes are good for America;How does high taxes affect the economy?;What causes taxes to increase?
9;Increased taxes are good for America;How does high taxes affect the economy?;What are the economic effect of taxation?
10;Increased taxes are good for America;How does high taxes affect the economy?;What are effects of taxation?
