;parent;name;inner.name
0;Internet access is a human right;Is Internet access to information a human right or a privilege?;Should access to the Internet be considered a human right?
1;Internet access is a human right;Is Internet access to information a human right or a privilege?;How do I access the Internet?
2;Internet access is a human right;What in the Internet was considered a basic human right?;Is the Internet a basic human right?
3;Internet access is a human right;What in the Internet was considered a basic human right?;Is Internet a luxury or right?
4;Internet access is a human right;What in the Internet was considered a basic human right?;What is the difference between the Internet and the World Wide Web?
5;Internet access is a human right;Is connectivity a human right?;What is difference between https and www?
6;Internet access is a human right;Is connectivity a human right?;What is web explain?
7;Internet access is a human right;Is connectivity a human right?;What is World Wide Web explain?
8;Internet access is a human right;Is access to information a human right?;Is knowledge a human right?
9;Internet access is a human right;Is access to information a human right?;Why is access to information important?
10;Internet access is a human right;Is access to information a human right?;What does the Freedom of Information Act cover?
