;parent;name;inner.name
0;It is a good idea to build the Keystone XL pipeline;What are the benefits of the Keystone XL pipeline?;What are the benefits of pipeline?
1;It is a good idea to build the Keystone XL pipeline;What are the benefits of the Keystone XL pipeline?;How many jobs will the Keystone Pipeline Create?
2;It is a good idea to build the Keystone XL pipeline;Is Keystone XL pipeline approved?;Where is the Keystone XL pipeline going?
3;It is a good idea to build the Keystone XL pipeline;Is Keystone XL pipeline approved?;What does XL mean in Keystone pipeline?
4;It is a good idea to build the Keystone XL pipeline;Is Keystone XL pipeline approved?;Has the Keystone pipeline been approved?
5;It is a good idea to build the Keystone XL pipeline;How much money will the Keystone pipeline make?;Where does the oil from the Keystone pipeline go?
6;It is a good idea to build the Keystone XL pipeline;How much money will the Keystone pipeline make?;How many oil spills has Enbridge had?
7;It is a good idea to build the Keystone XL pipeline;How much money will the Keystone pipeline make?;How many jobs did the pipeline create?
8;It is a good idea to build the Keystone XL pipeline;What will the Keystone pipeline do for America?;What is the purpose of a pipeline?
9;It is a good idea to build the Keystone XL pipeline;What will the Keystone pipeline do for America?;Why is the pipeline important?
10;It is a good idea to build the Keystone XL pipeline;What will the Keystone pipeline do for America?;Where does Keystone pipeline run?
