;parent;name;inner.name
0;It is a good idea to lease Crimea to Russia;Is Sevastopol a warm water port?;When did Russia get a warm water port?
1;It is a good idea to lease Crimea to Russia;Is Sevastopol a warm water port?;Does Russia have a warm water port?
2;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea 2014?;Did Crimea vote to be in Russia?
3;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea 2014?;Which country owns Crimea?
4;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea 2014?;Who owns Crimea?
5;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea?;Does Russia own Ukraine?
6;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea?;How did Russia take Crimea?
7;It is a good idea to lease Crimea to Russia;Why did Russia invade Crimea?;Why was Russia kicked out of the g8?
8;It is a good idea to lease Crimea to Russia;Should Crimea belong to Russia?;Was Ukraine ever part of Russia?
9;It is a good idea to lease Crimea to Russia;Should Crimea belong to Russia?;Can Russia join NATO?
10;It is a good idea to lease Crimea to Russia;Should Crimea belong to Russia?;Is Crimea still part of Russia?
