;parent;name;inner.name
0;It is good to gossip;What's considered gossip?;How do I stop gossiping?
1;It is good to gossip;What's considered gossip?;How do you know if you are gossiping?
2;It is good to gossip;What is positive gossip?;How does gossip affect the workplace?
3;It is good to gossip;What is positive gossip?;How do you deal with gossip at work?
4;It is good to gossip;What is positive gossip?;What do you call a gossip?
5;It is good to gossip;How do I become less gossipy?;How do you stop people from gossiping about you?
6;It is good to gossip;How do I become less gossipy?;What helps malicious gossip?
7;It is good to gossip;How do I become less gossipy?;How do you deal with a gossipy friend?
8;It is good to gossip;What is negative gossip?;Who is a gossiper?
9;It is good to gossip;What is negative gossip?;How do you deal with someone who spreads rumors about you?
10;It is good to gossip;What is negative gossip?;How do I stop coworkers from gossiping?
