;parent;name;inner.name
0;It is sometimes right for the government to restrict freedom of speech;Can the government restrict freedom of speech?;Is burning a draft card a protected form of free speech?
1;It is sometimes right for the government to restrict freedom of speech;Can the government restrict freedom of speech?;What are the limits of free speech?
2;It is sometimes right for the government to restrict freedom of speech;Should free speech have limitations?;Are there any limits on the right of free speech?
3;It is sometimes right for the government to restrict freedom of speech;Should free speech have limitations?;Should colleges restrict free speech?
4;It is sometimes right for the government to restrict freedom of speech;Should free speech have limitations?;Why is the second amendment important?
5;It is sometimes right for the government to restrict freedom of speech;What kind of speech is not protected by the First Amendment?;Is hate speech protected under the First Amendment?
6;It is sometimes right for the government to restrict freedom of speech;What kind of speech is not protected by the First Amendment?;Why is yelling fire in a theater illegal?
7;It is sometimes right for the government to restrict freedom of speech;What kind of speech is not protected by the First Amendment?;Why is political speech the most protected?
8;It is sometimes right for the government to restrict freedom of speech;How is freedom of speech limited?;What happened to the Child Online Protection Act?
9;It is sometimes right for the government to restrict freedom of speech;How is freedom of speech limited?;Is freedom of speech a human right?
10;It is sometimes right for the government to restrict freedom of speech;How is freedom of speech limited?;What is a person guaranteed in a fair trial?
