;parent;name;inner.name
0;It is time to stop buying bottled water;Why should bottled water be banned?;Which is better to drink tap water or bottled water?
1;It is time to stop buying bottled water;Why should bottled water be banned?;What bottled water is the safest to drink?
2;It is time to stop buying bottled water;How do you stop buying bottled water?;Should we buy bottled water?
3;It is time to stop buying bottled water;How do you stop buying bottled water?;Why do people buy bottled water?
4;It is time to stop buying bottled water;How do you stop buying bottled water?;Why is bottled water better than tap?
5;It is time to stop buying bottled water;Is buying bottled water worth it?;What is the healthiest bottled water?
6;It is time to stop buying bottled water;Is buying bottled water worth it?;How long will bottled water last?
7;It is time to stop buying bottled water;Is buying bottled water worth it?;Can Bottled water give you cancer?
8;It is time to stop buying bottled water;Why you shouldn't use bottled water?;Is it bad to only drink bottled water?
9;It is time to stop buying bottled water;Why you shouldn't use bottled water?;Is tap water better than bottled water?
10;It is time to stop buying bottled water;Why you shouldn't use bottled water?;Why is it bad to drink bottled water?
