;parent;name;inner.name
0;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;Who is the best boxer in the world of all time?;Which boxer has the worst record?
1;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;Who is the best boxer in the world of all time?;Who is the richest boxer?
2;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;Was Joe Calzaghe undefeated?;Who is Joe Calzaghe married to?
3;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;Was Joe Calzaghe undefeated?;What is Joe Calzaghe net worth?
4;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;Was Joe Calzaghe undefeated?;How tall is Joe Calzaghe?
5;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;What weight was Joe Calzaghe?;Who did Sugar Ray fight?
6;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;What weight was Joe Calzaghe?;What is considered heavyweight in boxing?
7;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;What weight was Joe Calzaghe?;How many weight classes did Roy Jones Jr win?
8;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;How many fights did Joe Calzaghe?;What nationality is Joe Calzaghe?
9;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;How many fights did Joe Calzaghe?;What age is Joe Calzaghe?
10;Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time;How many fights did Joe Calzaghe?;Did Joe Calzaghe win Strictly?
