;parent;name;inner.name
0;Junk Food Should Be Banned;Should junk food be banned from schools?;What are the dangers of junk food?
1;Junk Food Should Be Banned;Should junk food be banned from schools?;Does junk food give you energy?
2;Junk Food Should Be Banned;Should fast food be banned?;Why is Mcdonalds unhealthy?
3;Junk Food Should Be Banned;Should fast food be banned?;What's the healthiest fast food?
4;Junk Food Should Be Banned;Should fast food be banned?;Why is fasting bad?
5;Junk Food Should Be Banned;Should candy and soda be banned from schools?;Why is junk food bad?
6;Junk Food Should Be Banned;Should candy and soda be banned from schools?;Why should soda be banned in schools?
7;Junk Food Should Be Banned;Should candy and soda be banned from schools?;Should soda be allowed in school?
8;Junk Food Should Be Banned;Why should schools not sell junk food?;What is considered junk food?
9;Junk Food Should Be Banned;Why should schools not sell junk food?;Should junk food be taxed?
10;Junk Food Should Be Banned;Why should schools not sell junk food?;Should canteens sell healthy food?
