;parent;name;inner.name
0;Labels on food must be mandated to encourage people to eat better;What information is required on food labels?;Is potassium required on food labels?
1;Labels on food must be mandated to encourage people to eat better;What information is required on food labels?;What is the 5 and 20 rule?
2;Labels on food must be mandated to encourage people to eat better;What information is required on food labels?;What must appear on a food label?
3;Labels on food must be mandated to encourage people to eat better;What information is required on food labels?;Should restaurants be required to list the calories of food and drink items on their menus?
4;Labels on food must be mandated to encourage people to eat better;What information is required on food labels?;What is required on a food package?
5;Labels on food must be mandated to encourage people to eat better;What must appear on a food label?;What foods do not require a nutrition label?
6;Labels on food must be mandated to encourage people to eat better;What must appear on a food label?;In what order are ingredients listed on a food label?
7;Labels on food must be mandated to encourage people to eat better;What must appear on a food label?;What must be included on a food label by law?
8;Labels on food must be mandated to encourage people to eat better;What must appear on a food label?;Should restaurants be required to list the calories of food and drink items on their menus?
9;Labels on food must be mandated to encourage people to eat better;What must appear on a food label?;What is required on a food package?
10;Labels on food must be mandated to encourage people to eat better;Should restaurants be required to list the calories of food and drink items on their menus?;Should the government require restaurants to post calorie counts on menus?
11;Labels on food must be mandated to encourage people to eat better;Should restaurants be required to list the calories of food and drink items on their menus?;Are calorie counts on menus accurate?
12;Labels on food must be mandated to encourage people to eat better;Should restaurants be required to list the calories of food and drink items on their menus?;Where can I eat healthy near me?
13;Labels on food must be mandated to encourage people to eat better;Should restaurants be required to list the calories of food and drink items on their menus?;What is required on a food package?
14;Labels on food must be mandated to encourage people to eat better;What is required on a food package?;What are the FDA food label requirements for a food to be considered healthy?
15;Labels on food must be mandated to encourage people to eat better;What is required on a food package?;Does caffeine have to be listed as an ingredient?
16;Labels on food must be mandated to encourage people to eat better;What is required on a food package?;Do food products have to list all ingredients?
