;parent;name;inner.name
0;Lowering the federal corporate income tax rate does create jobs;Does lowering the federal corporate income tax rate create jobs?;Is the new corporate tax rate permanent?
1;Lowering the federal corporate income tax rate does create jobs;Does lowering the federal corporate income tax rate create jobs?;Did Reagan tax cuts increase revenue?
2;Lowering the federal corporate income tax rate does create jobs;Do corporate tax breaks create jobs?;Should we increase corporate tax?
3;Lowering the federal corporate income tax rate does create jobs;Do corporate tax breaks create jobs?;Do tax cuts for the wealthy stimulate the economy?
4;Lowering the federal corporate income tax rate does create jobs;Do corporate tax breaks create jobs?;Do tax cuts increase jobs?
5;Lowering the federal corporate income tax rate does create jobs;Does reducing corporation tax increase revenue?;Is corporation tax paid on gross or net profit?
6;Lowering the federal corporate income tax rate does create jobs;Does reducing corporation tax increase revenue?;Is corporation tax being reduced?
7;Lowering the federal corporate income tax rate does create jobs;Does reducing corporation tax increase revenue?;Do I have to pay corporation tax if I close my company?
8;Lowering the federal corporate income tax rate does create jobs;Why should corporate taxes be lowered?;What are the benefits of lowering taxes?
9;Lowering the federal corporate income tax rate does create jobs;Why should corporate taxes be lowered?;Which type of taxation is a primary source for local government revenues?
10;Lowering the federal corporate income tax rate does create jobs;Why should corporate taxes be lowered?;Why corporations should pay taxes?
