;parent;name;inner.name
0;Major league baseball should continue to allow collisions at home plate;Can a catcher block the plate?;Can the catcher block the plate in high school?
1;Major league baseball should continue to allow collisions at home plate;Can a catcher block the plate?;Does a player have to slide at home plate?
2;Major league baseball should continue to allow collisions at home plate;Do you have to slide into home plate in baseball?;Can you slide into first base in baseball?
3;Major league baseball should continue to allow collisions at home plate;Do you have to slide into home plate in baseball?;Do you always have to tag the runner at home plate?
4;Major league baseball should continue to allow collisions at home plate;Do you have to slide into home plate in baseball?;Do runners have to slide into home?
5;Major league baseball should continue to allow collisions at home plate;Can you jump over the catcher in MLB?;Is jumping over the catcher legal?
6;Major league baseball should continue to allow collisions at home plate;Can you jump over the catcher in MLB?;Can a player block the base?
7;Major league baseball should continue to allow collisions at home plate;Can you jump over the catcher in MLB?;Can you charge the catcher in baseball?
8;Major league baseball should continue to allow collisions at home plate;Can you force out at home plate?;Can a runner go back to first after touching second?
9;Major league baseball should continue to allow collisions at home plate;Can you force out at home plate?;Is a batter out for stepping on the plate?
10;Major league baseball should continue to allow collisions at home plate;Can you force out at home plate?;Is it a foul ball if the ball hits the plate?
