;parent;name;inner.name
0;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Is debating a sport?;Should bowling be considered a sport?
1;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Is debating a sport?;Is dance a sport yes or no?
2;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Is chess a sport or a game?;Why chess should be a sport?
3;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Is chess a sport or a game?;What is the difference between sports and games with examples?
4;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Is chess a sport or a game?;Are Esports real sports?
5;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Why is chess not an Olympic sport?;Is chess a real sport?
6;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Why is chess not an Olympic sport?;Is bowling an Olympic sport?
7;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Why is chess not an Olympic sport?;Is chess an Olympic?
8;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Was chess ever been an Olympic sport?;What are the 5 new sports for 2020 Olympics?
9;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Was chess ever been an Olympic sport?;What new sports will be in the 2020 Olympics?
10;Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports;Was chess ever been an Olympic sport?;What sport is not in the Olympics?
