;parent;name;inner.name
0;Neil Armstrong did actually walk on the Moon;Did Neil Armstrong walk on the moon?;Is Buzz Aldrin still alive?
1;Neil Armstrong did actually walk on the Moon;Did Neil Armstrong walk on the moon?;Is there a flag on the moon?
2;Neil Armstrong did actually walk on the Moon;How many times did Neil Armstrong land on the moon?;What did Neil Armstrong die of?
3;Neil Armstrong did actually walk on the Moon;How many times did Neil Armstrong land on the moon?;Who was the last person to stand on the moon?
4;Neil Armstrong did actually walk on the Moon;How many times did Neil Armstrong land on the moon?;Did Neil Armstrong have children?
5;Neil Armstrong did actually walk on the Moon;How many times has man walked on the moon?;Is there a dark side of the moon?
6;Neil Armstrong did actually walk on the Moon;How many times has man walked on the moon?;Does the moon have wind?
7;Neil Armstrong did actually walk on the Moon;How many times has man walked on the moon?;What was the space race?
8;Neil Armstrong did actually walk on the Moon;How many times did we land on the moon?;How far is the Van Allen belt from Earth?
9;Neil Armstrong did actually walk on the Moon;How many times did we land on the moon?;How many missions have landed on the moon?
10;Neil Armstrong did actually walk on the Moon;How many times did we land on the moon?;How much of the United States federal budget is allocated given to NASA each year?
