;parent;name;inner.name
0;Net neutrality should be restored;Has Net Neutrality been restored?;Was net neutrality passed?
1;Net neutrality should be restored;Has Net Neutrality been restored?;Is net neutrality gone?
2;Net neutrality should be restored;Will Net Neutrality be restored?;Has Net Neutrality been repealed?
3;Net neutrality should be restored;Will Net Neutrality be restored?;Will Net Neutrality be saved?
4;Net neutrality should be restored;Will Net Neutrality be restored?;Is net neutrality repealed?
5;Net neutrality should be restored;What does pro net neutrality mean?;Is net neutrality a good thing?
6;Net neutrality should be restored;What does pro net neutrality mean?;What will net neutrality do?
7;Net neutrality should be restored;What does pro net neutrality mean?;Is net neutrality ending?
8;Net neutrality should be restored;When was net neutrality repealed?;Will Net Neutrality end?
9;Net neutrality should be restored;When was net neutrality repealed?;Will Net Neutrality come back?
10;Net neutrality should be restored;When was net neutrality repealed?;Is net neutrality currently in effect?
