;parent;name;inner.name
0;Newspapers Are a Thing of the Past;Are newspapers a thing of the past?;What is importance of newspaper?
1;Newspapers Are a Thing of the Past;Where can I find old newspapers?;How do you find old newspapers?
2;Newspapers Are a Thing of the Past;Where can I find old newspapers?;Does Dollar Tree sell newspaper?
3;Newspapers Are a Thing of the Past;Where can I find old newspapers?;How do I search for newspapers on ancestry com?
4;Newspapers Are a Thing of the Past;Will newspapers disappear in the future?;Do they still print newspapers?
5;Newspapers Are a Thing of the Past;Will newspapers disappear in the future?;Will Internet News replace newspapers?
6;Newspapers Are a Thing of the Past;Will newspapers disappear in the future?;Do people still read print newspapers?
7;Newspapers Are a Thing of the Past;What is the future of newspapers?;Do newspapers still exist?
8;Newspapers Are a Thing of the Past;What is the future of newspapers?;How do you store newspapers?
9;Newspapers Are a Thing of the Past;What is the future of newspapers?;What caused the decline of newspapers?
