;parent;name;inner.name
0;Newspapers belong to the past;How do I search for newspapers on ancestry com?;How do I find old newspapers for free?
1;Newspapers belong to the past;How do I search for newspapers on ancestry com?;How do I search Newspapers com?
2;Newspapers belong to the past;Where can I get a copy of old newspapers?;Where can I find newspaper back issues?
3;Newspapers belong to the past;Where can I get a copy of old newspapers?;Where can I find newspaper articles online?
4;Newspapers belong to the past;Where can I get a copy of old newspapers?;Do libraries have newspaper archives?
5;Newspapers belong to the past;Which newspapers are left or right wing?;Which newspapers are tabloids?
6;Newspapers belong to the past;Which newspapers are left or right wing?;Which newspapers support which political parties 2018?
7;Newspapers belong to the past;Which newspapers are left or right wing?;Is the Daily News liberal or conservative?
8;Newspapers belong to the past;Can you look up old newspaper articles?;How do I find my Google news archives?
9;Newspapers belong to the past;Can you look up old newspaper articles?;How do you search Google for articles?
10;Newspapers belong to the past;Can you look up old newspaper articles?;How do I find an article after a certain date?
