;parent;name;inner.name
0;Offshoring is a good idea;What are the benefits of offshoring?;Why is offshoring important?
1;Offshoring is a good idea;What are the benefits of offshoring?;How is offshoring helping the companies?
2;Offshoring is a good idea;Why is offshoring bad?;What are the disadvantages of offshoring?
3;Offshoring is a good idea;Why is offshoring bad?;Does offshoring hurt the economy?
4;Offshoring is a good idea;Why is offshoring bad?;How does offshoring differ from outsourcing What are the advantages and disadvantages of offshoring?
5;Offshoring is a good idea;How is offshoring an advantages and disadvantages?;What is the advantage of offshoring?
6;Offshoring is a good idea;How is offshoring an advantages and disadvantages?;What companies use offshoring?
7;Offshoring is a good idea;How is offshoring an advantages and disadvantages?;Is offshoring good for the US economy?
8;Offshoring is a good idea;How does offshoring reduce costs?;Is outsourcing really cheaper?
9;Offshoring is a good idea;How does offshoring reduce costs?;How can outsourcing reduce costs?
10;Offshoring is a good idea;How does offshoring reduce costs?;How do companies save money by outsourcing?
