;parent;name;inner.name
0;Online education does more good than harm;Why homework does more good than harm?;Should homework be banned?
1;Online education does more good than harm;Why homework does more good than harm?;Should homework be given?
2;Online education does more good than harm;What are the disadvantages of online classes?;Is online school easier?
3;Online education does more good than harm;What are the disadvantages of online classes?;What are the benefits of taking online classes?
4;Online education does more good than harm;What are the disadvantages of online classes?;Is online education better than traditional?
5;Online education does more good than harm;Is online schooling a good idea?;Are online schools worth it?
6;Online education does more good than harm;Is online schooling a good idea?;Is online school better for anxiety?
7;Online education does more good than harm;Is online schooling a good idea?;Is online school better than traditional school?
8;Online education does more good than harm;Are online schools effective?;Is online college good?
9;Online education does more good than harm;Are online schools effective?;Are online diplomas worth anything?
10;Online education does more good than harm;Are online schools effective?;What is the advantage of online education?
