;parent;name;inner.name
0;Open primaries are the most effective method of selecting candidates for elections;What are the 4 types of elections?;What are the 3 types of elections?
1;Open primaries are the most effective method of selecting candidates for elections;What are the 4 types of elections?;How many types of elections are there?
2;Open primaries are the most effective method of selecting candidates for elections;Is there a primary election in 2018?;What do the primaries decided?
3;Open primaries are the most effective method of selecting candidates for elections;Is there a primary election in 2018?;How many House seats are up for reelection in 2018?
4;Open primaries are the most effective method of selecting candidates for elections;Is there a primary election in 2018?;What is a direct primary election?
5;Open primaries are the most effective method of selecting candidates for elections;How are primaries a more democratic way of choosing candidates that are caucuses?;How are caucuses and primaries different?
6;Open primaries are the most effective method of selecting candidates for elections;How are primaries a more democratic way of choosing candidates that are caucuses?;How do primaries and caucuses work?
7;Open primaries are the most effective method of selecting candidates for elections;How are primaries a more democratic way of choosing candidates that are caucuses?;Which states have caucuses and primaries?
8;Open primaries are the most effective method of selecting candidates for elections;Who primarily determines the rules for how candidates are nominated?;What are the four ways a candidate can be nominated for office?
9;Open primaries are the most effective method of selecting candidates for elections;Who primarily determines the rules for how candidates are nominated?;How does the Republican party choose its presidential nominees?
10;Open primaries are the most effective method of selecting candidates for elections;Who primarily determines the rules for how candidates are nominated?;Why is the nominating process particularly important in a two party system?
