;parent;name;inner.name
0;Parents should be held responsible for their school-going children's discipline problems;Should parents be held responsible for their children's discipline problems?;Should parents be held responsible for their children's actions?
1;Parents should be held responsible for their school-going children's discipline problems;Should parents be held responsible for their children's discipline problems?;Should parents be punished for their children's crimes?
2;Parents should be held responsible for their school-going children's discipline problems;Should parents be held responsible for their child's behavior?;Should parents be held responsible when their child breaks the law?
3;Parents should be held responsible for their school-going children's discipline problems;Should parents be held responsible for their child's behavior?;Are parents to be blamed for juvenile delinquency?
4;Parents should be held responsible for their school-going children's discipline problems;Should parents be held responsible for their child's behavior?;Are parents responsible for juvenile delinquency?
5;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their child behavior?;Do parents affect their children's behavior?
6;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their child behavior?;Are parents liable for 18 year olds?
7;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their child behavior?;How long am I legally responsible for my child?
8;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their children's education?;Should parents be involved in their child's education?
9;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their children's education?;Why parents should support their child?
10;Parents should be held responsible for their school-going children's discipline problems;Are parents responsible for their children's education?;Should teachers be held responsible for their students performance?
